2013 Measure Data: Medicare Part D Report Card Master Table ,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Medicare Part D Report Card Master Table ,,,,,,,,,,,,,,,,,,,,,,
,,,,,Drug Plan Customer Service,,,,,"Member Complaints, Problems Getting Services, and Improvement in the Drug Plan’s Performance",,,,Member Experience with Drug Plan,,,Patient Safety and Accuracy of Drug Pricing ,,,,,
S3618,PDP,"MERIDIAN HEALTH PLAN OF MICHIGAN, INC.",Advantage Plus - Meridian,"Caidan Enterprises, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
S3706,PDP,COLORADO ACCESS,Colorado Access Advantage,Colorado Access,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
S3994,PDP,HAWAII MEDICAL SERVICE ASSOCIATION (HMSA),HMSA's Medicare Rx Plan,Hawaii Medical Service Association,Not enough data available,Not enough data available,12.4,Not enough data available,Not enough data available,0,100,Not enough data available,Medicare shows only a star rating for this topic,80%,94%,94%,Not enough data available,5.70%,90.40%,81.30%,83.30%,82.30%
S4219,PDP,HEALTH ALLIANCE MEDICAL PLANS,Health Alliance Medicare Prescription Plan,Health Alliance Medical Plans,0:24,88%,0,Not enough data available,98%,1.15,100,25%,Not enough data available,80%,83%,88%,99,12.30%,80.80%,77.70%,77.20%,71.80%
S4610,PDP,CATALYST RX PLAN SERVICES INSURANCE COMPANY,Catalyst Rx Prescription Drug Plan,"Catalyst Health Solutions, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
S4802,PDP,STERLING LIFE INSURANCE COMPANY,Windsor Rx,Munich American Holding Corporation,0:20,96%,5.9,38%,95%,0.17,60,10%,Medicare shows only a star rating for this topic,80%,78%,89%,98,7.20%,80.90%,77.30%,77.50%,73.80%
S5351,PDP,"PACIFICSOURCE COMMUNITY HEALTH PLANS, INC.",PacificSource Medicare,PacificSource Health Plans,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
S5540,PDP,BLUE CROSS AND BLUE SHIELD OF NORTH CAROLINA,Blue Cross and Blue Shield of North Carolina,Blue Cross and Blue Shield of North Carolina,0:11,81%,2.6,52%,97%,0.2,100,6%,Medicare shows only a star rating for this topic,85%,86%,93%,99,11.80%,82.70%,80.00%,79.00%,71.80%
S5552,PDP,HUMANA INSURANCE COMPANY OF NEW YORK,Humana Insurance Company of New York,Humana Inc.,0:11,97%,0.2,100%,96%,0.43,67,10%,Medicare shows only a star rating for this topic,78%,80%,88%,98,5.90%,82.00%,76.80%,76.90%,71.80%
S5569,PDP,CAMBRIDGE LIFE INSURANCE COMPANY,First Health Part D,Coventry Health Care Inc.,0:11,86%,1.5,Not enough data available,98%,0.4,40,16%,Medicare shows only a star rating for this topic,81%,81%,89%,99,6.20%,81.70%,76.00%,75.80%,70.50%
S5580,PDP,FIRST UNITED AMERICAN LIFE INSURANCE COMPANY,First United American Life Insurance Company,Torchmark Corporation,0:11,94%,1.5,100%,95%,0.37,60,10%,Medicare shows only a star rating for this topic,81%,82%,90%,99,4.70%,82.10%,75.10%,77.50%,69.70%
S5584,PDP,BLUE CROSS BLUE SHIELD OF MICHIGAN,Blue Cross Blue Shield of Michigan,Blue Cross Blue Shield of Michigan,0:11,76%,CMS identified issues with plan’s data,Not enough data available,94%,0.1,100,6%,Medicare shows only a star rating for this topic,80%,85%,92%,99,5.90%,79.30%,78.40%,80.70%,77.00%
S5588,PDP,PARAMOUNT INSURANCE COMPANY,Paramount Prescription Drug Plan,Promedica Health System,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,100,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,6.50%,82.70%,85.20%,82.10%,76.70%
S5593,PDP,HIGHMARK HEALTH INSURANCE COMPANY,Highmark Health Insurance Company,Highmark Inc.,0:11,89%,2.5,83%,97%,0.19,100,7%,Medicare shows only a star rating for this topic,80%,79%,90%,99,7.20%,78.80%,80.20%,79.40%,74.50%
S5596,PDP,"ANTHEM INSURANCE COMPANIES, INC.",Blue MedicareRx,"WellPoint, Inc.",0:07,64%,CMS identified issues with plan’s data,71%,90%,0.2,47,11%,Medicare shows only a star rating for this topic,79%,80%,88%,97,9.80%,82.10%,75.70%,77.00%,71.60%
S5601,PDP,SILVERSCRIPT INSURANCE COMPANY,SilverScript,CVS Caremark Corporation,0:28,82%,CMS identified issues with plan’s data,60%,93%,0.13,60,7%,Medicare shows only a star rating for this topic,79%,83%,88%,97,9.80%,82.10%,76.40%,75.50%,73.20%
S5609,PDP,ASURIS NORTHWEST HEALTH,Asuris Northwest Health,"Cambia Health Solutions, Inc.",0:01,95%,3.6,Not enough data available,93%,0.02,100,9%,Medicare shows only a star rating for this topic,80%,80%,90%,99,10.70%,82.20%,75.90%,78.10%,77.60%
S5617,PDP,CONNECTICUT GENERAL LIFE INSURANCE COMPANY,Cigna Medicare Rx,CIGNA,0:46,76%,1.1,79%,99%,0.13,60,9%,Medicare shows only a star rating for this topic,78%,82%,89%,98,11.00%,81.90%,75.00%,73.40%,71.10%
S5660,PDP,MEDCO CONTAINMENT LIFE INSURANCE COMPANY,Express Scripts Medicare,"Express Scripts, Inc.",0:11,94%,3,78%,98%,0.1,100,5%,Medicare shows only a star rating for this topic,82%,85%,91%,99,9.50%,82.20%,77.50%,77.80%,75.20%
S5670,PDP,COVENTRY HEALTH AND LIFE INSURANCE COMPANY,First Health Part D,Coventry Health Care Inc.,0:11,86%,2.1,Not enough data available,98%,0.25,40,14%,Medicare shows only a star rating for this topic,79%,87%,92%,99,14.50%,80.20%,79.90%,78.00%,74.70%
S5674,PDP,FIRST HEALTH LIFE & HEALTH INSURANCE COMPANY,First Health Part D,Coventry Health Care Inc.,0:11,86%,1.2,Not enough data available,98%,0.3,40,12%,Medicare shows only a star rating for this topic,80%,86%,91%,99,11.40%,80.00%,79.80%,79.10%,76.70%
S5715,PDP,HCSC INSURANCE SERVICES COMPANY,"HISC - Blue Cross Blue Shield of IL, NM, OK, TX",Health Care Service Corporation,0:20,86%,1.3,63%,96%,0.12,80,6%,Medicare shows only a star rating for this topic,79%,81%,91%,99,7.60%,81.70%,77.50%,79.00%,73.70%
S5726,PDP,BLUE CROSS BLUE SHIELD OF KANSAS,Blue MedicareRx,Blue Cross Blue Shield of Kansas,0:06,75%,2,Not enough data available,90%,0.17,100,11%,Medicare shows only a star rating for this topic,Not enough data available,83%,90%,97,10.50%,82.30%,79.60%,80.20%,74.30%
S5743,PDP,"WELLMARK  IA & SD, & BCBS MN, MT, NE, ND,& WY",MedicareBlue Rx,"BCBS MN, MT, NE, ND, WY, Wellmark IA and SD",0:18,95%,1.7,64%,98%,0.06,80,5%,Medicare shows only a star rating for this topic,81%,83%,92%,99,6.30%,82.30%,84.70%,84.60%,79.90%
S5753,PDP,WISCONSIN PHYSICIANS SERVICE INSURANCE CORPORATION,WPS Health Insurance,Wisconsin Physicians Service Ins Corporation.,0:08,90%,2.5,77%,96%,0.06,80,12%,Medicare shows only a star rating for this topic,78%,81%,91%,99,5.80%,80.80%,85.00%,85.00%,79.20%
S5755,PDP,UNITED AMERICAN INSURANCE COMPANY,United American Insurance Company,Torchmark Corporation,0:11,92%,2.3,73%,94%,0.18,60,8%,Medicare shows only a star rating for this topic,81%,83%,89%,99,8.80%,80.50%,73.70%,74.50%,70.40%
S5766,PDP,"FIRST CARE, INC.",Medi-CareFirst BlueCross BlueShield,"CareFirst, Inc.",0:01,93%,0.8,Not enough data available,97%,0.21,100,7%,Medicare shows only a star rating for this topic,79%,81%,90%,99,7.80%,81.40%,79.60%,81.40%,76.00%
S5768,PDP,FIRST HEALTH LIFE & HEALTH INSURANCE COMPANY,First Health Part D,Coventry Health Care Inc.,0:11,86%,1,78%,96%,0.19,40,11%,Medicare shows only a star rating for this topic,77%,80%,89%,99,9.10%,82.30%,72.80%,73.80%,70.00%
S5775,PDP,PHARMACY INSURANCE CORPORATION OF AMERICA,PICA,Pharmacy Insurance Corporation of America,0:38,70%,CMS identified issues with plan’s data,Not enough data available,78%,0.22,5,13%,Medicare shows only a star rating for this topic,82%,84%,89%,98,8.80%,87.00%,62.30%,66.70%,41.00%
S5795,PDP,USABLE MUTUAL INSURANCE COMPANY,ARKANSAS BLUE CROSS AND BLUE SHIELD,USAble Mutual Insurance Company,0:25,95%,5,64%,96%,0.14,80,21%,Medicare shows only a star rating for this topic,80%,83%,90%,98,12.80%,81.10%,74.70%,73.90%,69.30%
S5805,PDP,UNITEDHEALTHCARE INSURANCE COMPANY OF NEW YORK,UnitedHealthcare,"UnitedHealth Group, Inc.",0:13,92%,CMS identified issues with plan’s data,86%,94%,0.17,12,6%,Medicare shows only a star rating for this topic,82%,83%,91%,99,6.20%,81.70%,78.20%,78.70%,72.40%
S5810,PDP,AETNA LIFE INSURANCE COMPANY,Aetna Medicare,Aetna Inc.,0:47,88%,3.6,89%,94%,0.26,20,9%,Medicare shows only a star rating for this topic,80%,83%,92%,98,6.50%,82.00%,72.80%,73.20%,70.70%
S5820,PDP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",0:13,92%,CMS identified issues with plan’s data,81%,95%,0.16,12,19%,Medicare shows only a star rating for this topic,81%,84%,91%,99,9.50%,81.10%,75.50%,75.70%,71.40%
S5840,PDP,"FIRST MEDICAL HEALTH PLAN, INC","First Medical Health Plan, Inc.","First Medical Health Plan, Inc.",0:45,66%,CMS identified issues with plan’s data,Not enough data available,Not enough data available,Not enough data available,3,12%,Not enough data available,Not enough data available,82%,89%,99,9.20%,89.60%,55.40%,61.00%,34.40%
S5857,PDP,PRIORITY HEALTH INSURANCE COMPANY,Priority Health Medicare,Spectrum Health System,0:16,76%,9.6,Not enough data available,93%,0.28,80,19%,Medicare shows only a star rating for this topic,78%,80%,88%,99,9.90%,77.10%,74.50%,79.50%,76.20%
S5877,PDP,EDUCATORS MUTUAL INSURANCE ASSOCIATION,EMI Health,Educators Mutual Insurance Association,0:08,10%,0,Not enough data available,Not enough data available,0,80,6%,Medicare shows only a star rating for this topic,88%,87%,94%,99,9.80%,84.80%,78.10%,75.10%,73.80%
S5884,PDP,HUMANA INSURANCE COMPANY,Humana Insurance Company,Humana Inc.,0:09,97%,CMS identified issues with plan’s data,86%,93%,0.21,67,9%,Medicare shows only a star rating for this topic,77%,81%,88%,98,8.70%,82.30%,76.00%,76.50%,72.10%
S5904,PDP,"BLUE CROSS AND BLUE SHIELD OF FLORIDA, INC.",Florida Blue,Blue Cross and Blue Shield of Florida,0:23,93%,2.4,74%,89%,0.26,60,7%,Medicare shows only a star rating for this topic,79%,84%,91%,99,8.80%,81.80%,77.80%,76.90%,71.90%
S5907,PDP,"TRIPLE-S SALUD, INC.","Triple-S Salud, Inc.",Triple-S Management Corporation,0:49,64%,0,Not enough data available,Not enough data available,0.19,80,6%,Medicare shows only a star rating for this topic,67%,78%,86%,98,8.10%,87.80%,63.00%,67.30%,42.90%
S5916,PDP,REGENCE BLUESHIELD OF IDAHO & REGENCE BCBS OF UTAH,Regence BlueShield of Idaho and Regence BCBS Utah,"Cambia Health Solutions, Inc.",0:02,95%,2.2,Not enough data available,96%,0.08,100,6%,Medicare shows only a star rating for this topic,83%,83%,92%,99,11.60%,83.90%,74.60%,76.30%,74.50%
S5921,PDP,UNITEDHEALTHCARE INS. CO. AND UNITEDHEALTHCARE NY,UnitedHealthcare,"UnitedHealth Group, Inc.",0:11,92%,2.4,84%,91%,0.35,12,9%,Medicare shows only a star rating for this topic,80%,83%,90%,99,13.70%,81.30%,78.90%,77.80%,74.60%
S5932,PDP,"HEALTHSPRING LIFE & HEALTH INSURANCE COMPANY, INC.",HealthSpring Prescription Drug Plan,CIGNA,0:32,91%,CMS identified issues with plan’s data,55%,86%,0.11,80,15%,Medicare shows only a star rating for this topic,86%,83%,89%,99,12.50%,82.40%,70.10%,68.60%,66.70%
S5937,PDP,LOUISIANA HEALTH SERVICE AND INDEMNITY COMPANY,Blue Cross and Blue Shield of Louisiana,BlueCross BlueShield of Louisiana,0:12,62%,12.7,71%,96%,0.28,60,10%,Medicare shows only a star rating for this topic,80%,78%,87%,97,15.40%,80.20%,75.50%,76.20%,69.20%
S5953,PDP,BLUE CROSS AND BLUE SHIELD OF SOUTH CAROLINA,Blue Cross Blue Shield of South Carolina,BlueCross BlueShield of South Carolina (BCBSSC),0:28,64%,CMS identified issues with plan’s data,72%,87%,0.17,33,9%,Medicare shows only a star rating for this topic,76%,80%,88%,98,11.30%,82.80%,73.80%,73.90%,66.60%
S5960,PDP,UNICARE LIFE AND HEALTH INSURANCE COMPANY,UniCare,"WellPoint, Inc.",0:07,64%,CMS identified issues with plan’s data,67%,95%,0.31,47,21%,Medicare shows only a star rating for this topic,Not enough data available,82%,88%,97,11.40%,82.00%,69.40%,69.10%,65.80%
S5966,PDP,GROUP HEALTH INCORPORATED,EmblemHealth Medicare PDP,"EmblemHealth, Inc.",0:19,71%,11,40%,97%,0.18,100,10%,Medicare shows only a star rating for this topic,79%,83%,89%,99,4.70%,83.20%,77.70%,79.50%,73.90%
S5967,PDP,"WELLCARE PRESCRIPTION INSURANCE, INC.",WellCare,"WellCare Health Plans, Inc.",0:15,87%,0.6,77%,97%,0.19,80,16%,Medicare shows only a star rating for this topic,75%,82%,89%,99,10.00%,83.10%,74.00%,74.20%,70.80%
S5975,PDP,"ODS HEALTH PLAN, INC.","ODS Health Plan, Inc.","Health Services Group, Inc.",Not enough data available,Not enough data available,2.6,67%,Not enough data available,0,80,Not enough data available,Medicare shows only a star rating for this topic,85%,88%,94%,Not enough data available,9.90%,84.90%,83.40%,83.50%,80.60%
S5983,PDP,MEDCO CONTAINMENT INSURANCE COMPANY OF NEW YORK,Express Scripts Medicare,"Express Scripts, Inc.",0:11,94%,3.9,65%,98%,0.12,80,8%,Medicare shows only a star rating for this topic,79%,82%,90%,99,7.00%,82.40%,75.70%,73.70%,69.60%
S5993,PDP,HORIZON HEALTHCARE SERVICES DBA HORIZON BCBS NJ,"Horizon Blue Cross Blue Shield of New Jersey, Inc.","Horizon Healthcare Services, Inc.",0:24,90%,6.4,42%,96%,0.16,100,7%,Medicare shows only a star rating for this topic,71%,78%,89%,98,5.80%,82.30%,78.10%,79.80%,73.20%
S6506,PDP,"BLUE CROSS AND BLUE SHIELD ARIZONA, INC.",Blue Cross and Blue Shield of Arizona,Blue Cross Blue Shield of Arizona,0:18,90%,Not enough data available,Not enough data available,98%,0.71,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available
S6875,PDP,QCC INS CO D/B/A AMERIHEALTH INS CO,Select Option,Independence Blue Cross,Not enough data available,Not enough data available,0,Not enough data available,Not enough data available,0.25,100,Not enough data available,Medicare shows only a star rating for this topic,70%,83%,90%,Not enough data available,6.90%,79.40%,81.70%,83.00%,75.00%
