Contract Number,Contract Name,Parent Organization,Organization Type,Part C,,,,,,,,,,Part D,,,,,,,,,
,,,,Follow-up Visit after Hospital Stay for Mental Illness (within 30 days of discharge) - DMC01,Call Answer Timeliness - DMC02,Antidepressant Medication Management (6 months) - DMC03,Continuous Beta Blocker Treatment - DMC04,Appropriate Monitoring for Patients Taking Long Term Medications - DMC05,Osteoporosis Testing - DMC06,Testing to Confirm Chronic Obstructive Pulmonary Disease - DMC07,Doctors who Communicate Well - DMC08,Call Center – Beneficiary  Hold Time - DMC09,Call Center – Information Accuracy- DMC10,Access,,,Call Center,,,Drug Pricing and Patient Safety,,,Plan Finder
S3994,HAWAII MEDICAL SERVICE ASSOCIATION (HMSA),Hawaii Medical Service Association,PDP,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,5.5%,0.5%,100.00%,100.00%
S4219,HEALTH ALLIANCE MEDICAL PLANS,Health Alliance Medical Plans,PDP,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Not measured,Not measured,90.91%,0.00%,1:22,88.00%,Not measured,Not measured,96.10%,100.00%
S4802,STERLING LIFE INSURANCE COMPANY,Munich American Holding Corporation,PDP,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,75.00%,66.67%,97.99%,0.54%,4:03,72.00%,8.1%,1.5%,98.50%,100.00%
S5540,BLUE CROSS AND BLUE SHIELD OF NORTH CAROLINA,Blue Cross and Blue Shield of North Carolina,PDP,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,100.00%,80.00%,100.00%,0.00%,0:14,82.00%,9.3%,1.6%,99.30%,100.00%
S5552,HUMANA INSURANCE COMPANY OF NEW YORK,Humana Inc.,PDP,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,100.00%,100.00%,98.02%,1.36%,0:48,96.00%,7.9%,1.5%,99.80%,92.31%
S5555,"MCS ADVANTAGE, INC.","Medical Card System, Inc.",PDP,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Not measured,Not measured,Not measured,4.80%,0:31,81.00%,6.5%,1.1%,Not measured,100.00%
S5569,CAMBRIDGE LIFE INSURANCE COMPANY,Coventry Health Care Inc.,PDP,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,100.00%,100.00%,100.00%,0.00%,0:29,91.00%,7.3%,0.9%,99.40%,100.00%
S5580,FIRST UNITED AMERICAN LIFE INSURANCE COMPANY,Torchmark Corporation,PDP,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,100.00%,100.00%,77.78%,1.63%,0:28,84.00%,7.4%,1.1%,98.80%,100.00%
S5584,BLUE CROSS BLUE SHIELD OF MICHIGAN,Blue Cross Blue Shield of Michigan,PDP,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,100.00%,75.00%,96.67%,0.41%,1:26,88.00%,8.0%,1.2%,66.50%,100.00%
S5585,HEALTHNOW NEW YORK INC.,HealthNow New York Inc.,PDP,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Not measured,Not measured,Not measured,0.83%,1:13,87.00%,5.0%,0.0%,92.70%,92.31%
S5588,PARAMOUNT INSURANCE COMPANY,Promedica Health System,PDP,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,5.0%,2.1%,88.90%,100.00%
S5593,HIGHMARK SENIOR RESOURCES INC.,Highmark Inc.,PDP,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,100.00%,100.00%,100.00%,0.00%,1:26,88.00%,8.7%,1.0%,99.70%,100.00%
S5596,"ANTHEM INSURANCE COMPANIES, INC.","WellPoint, Inc.",PDP,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,82.46%,93.75%,99.76%,0.68%,0:31,66.00%,8.6%,1.3%,99.60%,100.00%
S5601,SILVERSCRIPT INSURANCE COMPANY,CVS Caremark Corporation,PDP,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,98.73%,97.01%,99.94%,0.39%,1:09,78.00%,9.5%,1.7%,100.00%,100.00%
S5609,ASURIS NORTHWEST HEALTH,The Regence Group,PDP,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,100.00%,100.00%,100.00%,0.00%,0:26,91.00%,9.4%,2.3%,99.90%,100.00%
S5617,CONNECTICUT GENERAL LIFE INSURANCE COMPANY,CIGNA,PDP,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,77.08%,88.00%,99.79%,0.19%,0:10,85.00%,8.8%,1.3%,99.90%,100.00%
S5644,ACCENDO INSURANCE COMPANY,CVS Caremark Corporation,PDP,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,93.52%,95.50%,99.97%,0.39%,0:43,77.00%,8.2%,0.6%,99.30%,100.00%
S5660,MEDCO CONTAINMENT LIFE INSURANCE COMPANY,"Medco Health Solutions, Inc.",PDP,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,98.29%,93.98%,99.75%,0.39%,0:25,90.00%,8.8%,0.9%,99.90%,100.00%
S5670,COVENTRY HEALTH AND LIFE INSURANCE COMPANY,Coventry Health Care Inc.,PDP,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,100.00%,100.00%,82.52%,0.39%,0:33,91.00%,8.6%,1.2%,98.70%,100.00%
S5674,FIRST HEALTH LIFE & HEALTH INSURANCE COMPANY,Coventry Health Care Inc.,PDP,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,86.67%,100.00%,89.74%,0.39%,0:33,91.00%,8.1%,1.1%,98.50%,100.00%
S5678,HEALTH NET LIFE INSURANCE COMPANY,"Health Net, Inc.",PDP,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,96.67%,83.33%,100.00%,Not measured,Not measured,Not measured,8.7%,1.6%,100.00%,100.00%
S5715,HCSC INSURANCE SERVICES COMPANY,Health Care Service Corporation,PDP,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,93.48%,95.00%,95.63%,0.00%,0:36,83.00%,8.8%,1.6%,99.90%,100.00%
S5726,BLUE CROSS BLUE SHIELD OF KANSAS,Blue Cross Blue Shield of Kansas,PDP,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,0.00%,66.67%,100.00%,1.04%,0:17,72.00%,9.7%,1.2%,99.70%,100.00%
S5743,"BCBS MN, MT, NE, ND, WY, WELLMARK IA AND SD","BCBS MN, MT, NE, ND, WY, Wellmark IA and SD",PDP,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,97.44%,86.36%,98.20%,0.19%,0:20,95.00%,8.7%,1.9%,99.70%,100.00%
S5753,WISCONSIN PHYSICIANS SERVICE INSURANCE CORPORATION,Wisconsin Physicians Service Ins Corporation.,PDP,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,92.31%,100.00%,10.71%,0.00%,0:32,85.00%,8.1%,1.0%,98.40%,100.00%
S5755,UNITED AMERICAN INSURANCE COMPANY,Torchmark Corporation,PDP,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,86.21%,91.67%,62.62%,1.55%,0:25,84.00%,8.9%,0.7%,99.20%,100.00%
S5766,"FIRST CARE, INC.","CareFirst, Inc.",PDP,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Not measured,Not measured,Not measured,1.00%,0:32,90.00%,7.6%,1.5%,99.30%,92.31%
S5768,FIRST HEALTH LIFE & HEALTH INSURANCE COMPANY,Coventry Health Care Inc.,PDP,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,99.09%,96.97%,99.95%,0.39%,0:33,91.00%,8.2%,1.0%,99.10%,100.00%
S5775,PHARMACY INSURANCE CORPORATION OF AMERICA,Pharmacy Insurance Corporation of America,PDP,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Not measured,Not measured,1.27%,0.61%,0:58,86.00%,6.6%,1.7%,Not measured,100.00%
