2014 Star View: Medicare Part D Report Card Master Table,,,,,,,,,,,,,,,,,,,
Contract Number,Organization Type,Organization Marketing Name,Contract Name,Parent Organization,DD1: Drug Plan Customer Service,,,"DD2: Member Complaints, Problems Getting Services, and Improvement in the Drug Plan’s Performance ",,,,DD3: Member Experience with the Drug Plan,,DD4: Patient Safety and Accuracy of Drug Pricing,,,,,
S0522,PDP,Symphonix Health,"SYMPHONIX HEALTH INSURANCE, INC.",Granite Creek FlexCap LLP,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
S0586,PDP,MVP Health Care,"MVP HEALTH PLAN, INC.","MVP Health Care, Inc.",No data available,Not enough data available,No data available,Not enough data available,5,Not enough data available,Not enough data available,No data available,No data available,Not enough data available,4,2,5,5,5
S0655,PDP,Tufts Health Plan Medicare Preferred,TUFTS INSURANCE COMPANY,"Tufts Associated HMO, Inc.",No data available,1,Not enough data available,5,5,No data available,5,5,4,Not enough data available,4,5,5,5,5
S1030,PDP,BlueRx (PDP),"BCBS ALABAMA, BCBS TENNESSEE",BCBS OF AL & BCBS OF TN,2,1,2,5,3,4,4,4,4,5,1,3,3,4,3
S1140,PDP,HealthNow New York Inc.,HEALTHNOW NEW YORK INC.,HealthNow New York Inc.,2,Plan too new to be measured,Not enough data available,1,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
S1480,PDP,PrimeTime Prescription Drug Plan,AULTCARE INSURANCE COMPANY,Aultman Health Foundation,No data available,5,No data available,No data available,5,No data available,Not enough data available,No data available,No data available,3,1,1,2,2,2
S1822,PDP,HealthPartners National PDP,"HEALTHPARTNERS, INC.","HealthPartners, Inc.",No data available,Not enough data available,Not enough data available,5,5,Not enough data available,Not enough data available,5,5,Not enough data available,3,4,3,5,5
S2321,PDP,AmeriHealth Rx PDP,QCC INSURANCE COMPANY,Independence Blue Cross,3,3,1,2,2,2,1,4,5,Not enough data available,2,1,2,3,4
S2468,PDP,Blue Shield of California,CALIFORNIA PHYSICIANS' SERVICE,California Physicians' Service,4,2,1,3,4,4,1,4,4,3,2,5,3,3,4
S2505,PDP,Windsor Rx,"WINDSOR HEALTH PLAN, INC.",Munich American Holding Corporation,5,1,4,5,3,3,4,4,4,3,3,4,1,1,1
S2874,PDP,"Humana Insurance of Puerto Rico, Inc.","HUMANA INSURANCE OF PUERTO RICO, INC.",Humana Inc.,4,Not enough data available,No data available,1,5,Not enough data available,Not enough data available,No data available,No data available,3,5,5,1,1,1
S2893,PDP,Blue MedicareRx,ANTHEM INSURANCE CO. & BCBSMA & BCBSRI & BCBSVT,Anthem Insurance Co. & BCBSMA & BCBSRI & BCBSVT,2,1,4,3,4,5,5,4,4,3,4,3,5,5,5
S3389,PDP,UPMC Health Plan,"UPMC HEALTH BENEFITS, INC.",University of Pittsburgh Medical Center,No data available,Not enough data available,No data available,Not enough data available,5,Not enough data available,Not enough data available,No data available,No data available,Not enough data available,3,5,5,5,5
S3440,PDP,Alliance Medicare Rx,ALLIANCE HEALTH AND LIFE INSURANCE COMPANY,Henry Ford Health System,2,5,No data available,2,1,3,4,4,5,5,2,3,3,4,4
S3474,PDP,"Benecard Services, Inc.",HEARTLAND FIDELITY INSURANCE COMPANY,Heartland Fidelity Insurance Company,No data available,Plan too new to be measured,No data available,2,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
S3521,PDP,"Excellus Health Plan, Inc","EXCELLUS HEALTH PLAN, INC.","Lifetime Healthcare, Inc.",4,5,1,2,5,5,3,5,5,5,3,2,4,5,5
S3875,PDP,Granite Alliance,GRANITE ALLIANCE INSURANCE COMPANY,Granite Alliance Insurance Company,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
S3994,PDP,HMSA's Medicare Rx Plan,HAWAII MEDICAL SERVICE ASSOCIATION (HMSA),Hawaii Medical Service Association,No data available,5,No data available,No data available,5,No data available,5,No data available,No data available,Not enough data available,5,5,5,5,5
S4219,PDP,Health Alliance Medicare Prescription Plan,HEALTH ALLIANCE MEDICAL PLANS,Health Alliance Medical Plans,3,5,Not enough data available,1,5,1,3,4,4,3,1,5,4,3,4
S4802,PDP,Windsor Rx,STERLING LIFE INSURANCE COMPANY,Munich American Holding Corporation,5,1,2,5,1,4,5,4,5,3,3,3,4,5,5
S5351,PDP,PacificSource Medicare,"PACIFICSOURCE COMMUNITY HEALTH PLANS, INC.",PacificSource Health Plans,No data available,Plan too new to be measured,No data available,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
S5540,PDP,Blue Cross and Blue Shield of North Carolina,BLUE CROSS AND BLUE SHIELD OF NORTH CAROLINA,Blue Cross and Blue Shield of North Carolina,3,2,3,5,5,5,3,4,4,5,2,3,3,4,3
S5552,PDP,Humana Insurance Company of New York,HUMANA INSURANCE COMPANY OF NEW YORK,Humana Inc.,5,1,5,2,5,3,2,2,4,3,5,3,2,3,2
S5569,PDP,First Health Part D,CAMBRIDGE LIFE INSURANCE COMPANY,Aetna Inc.,4,5,Not enough data available,2,4,2,5,5,4,5,3,3,3,4,4
S5580,PDP,First United American Life Insurance Company,FIRST UNITED AMERICAN LIFE INSURANCE COMPANY,Torchmark Corporation,4,3,5,2,2,3,2,2,4,5,4,2,3,3,2
S5584,PDP,Blue Cross Blue Shield of Michigan,BLUE CROSS BLUE SHIELD OF MICHIGAN,Blue Cross Blue Shield of Michigan,5,5,5,5,4,5,4,4,5,3,3,1,4,5,5
S5588,PDP,Paramount Prescription Drug Plan,PARAMOUNT INSURANCE COMPANY,Promedica Health System,No data available,Not enough data available,No data available,Not enough data available,5,Not enough data available,Not enough data available,No data available,No data available,Not enough data available,3,2,5,3,5
S5593,PDP,HM Health Insurance Company,HM HEALTH INSURANCE COMPANY,Highmark,5,3,1,5,5,4,3,1,4,5,3,1,4,4,4
S5596,PDP,Blue MedicareRx,"ANTHEM INSURANCE COMPANIES, INC.","WellPoint, Inc.",5,3,5,4,3,3,5,4,4,3,2,4,3,3,3
S5601,PDP,SilverScript,SILVERSCRIPT INSURANCE COMPANY,CVS Caremark Corporation,No data available,2,5,2,3,2,1,4,1,3,3,3,2,2,3
S5609,PDP,Asuris Northwest Health,ASURIS NORTHWEST HEALTH,"Cambia Health Solutions, Inc.",5,1,Not enough data available,5,5,4,3,2,4,5,2,4,4,4,5
S5617,PDP,Cigna Medicare Rx,CONNECTICUT GENERAL LIFE INSURANCE COMPANY,CIGNA,5,3,1,4,4,3,3,4,5,5,2,2,2,2,2
S5660,PDP,Express Scripts Medicare,MEDCO CONTAINMENT LIFE INSURANCE COMPANY,Express Scripts Holding Company,1,1,4,4,4,4,4,5,4,5,3,3,3,4,5
S5670,PDP,First Health Part D,COVENTRY HEALTH AND LIFE INSURANCE COMPANY,Aetna Inc.,4,4,5,3,4,3,4,4,4,5,1,2,4,4,5
S5674,PDP,First Health Part D,FIRST HEALTH LIFE & HEALTH INSURANCE COMPANY,Aetna Inc.,4,4,Not enough data available,3,4,3,5,5,5,5,1,2,4,5,5
S5715,PDP,"HISC - Blue Cross Blue Shield of IL, NM, OK, TX",HCSC INSURANCE SERVICES COMPANY,Health Care Service Corporation,5,1,2,5,5,5,5,4,5,5,3,3,3,5,5
S5726,PDP,Blue MedicareRx,BLUE CROSS AND BLUE SHIELD OF KANSAS,Blue Cross Blue Shield of Kansas,3,2,Not enough data available,4,4,4,4,4,5,3,2,5,4,5,5
S5743,PDP,MedicareBlue Rx,"WELLMARK  IA & SD, & BCBS MN, MT, NE, ND,& WY","BCBS MN, MT, NE, ND, WY, Wellmark IA and SD",1,2,3,5,5,5,4,4,5,5,3,4,5,5,5
S5753,PDP,WPS Health Insurance,WISCONSIN PHYSICIANS SERVICE INSURANCE CORPORATION,Wisconsin Physicians Service Ins Corporation.,4,5,2,5,5,4,4,4,4,5,4,2,5,5,5
S5755,PDP,United American Insurance Company,UNITED AMERICAN INSURANCE COMPANY,Torchmark Corporation,4,1,5,3,2,3,3,4,2,5,2,3,2,2,2
S5766,PDP,Medi-CareFirst BlueCross BlueShield,"FIRST CARE, INC.","CareFirst, Inc.",3,4,Not enough data available,2,5,4,4,2,5,3,3,2,4,5,5
S5768,PDP,First Health Part D,FIRST HEALTH LIFE & HEALTH INSURANCE COMPANY,Aetna Inc.,4,5,5,3,4,1,5,4,5,5,2,3,2,3,3
S5775,PDP,PICA,PHARMACY INSURANCE CORPORATION OF AMERICA,Pharmacy Insurance Corporation of America,1,4,Not enough data available,2,4,1,4,2,4,3,3,5,1,2,1
S5795,PDP,ARKANSAS BLUE CROSS AND BLUE SHIELD,USABLE MUTUAL INSURANCE COMPANY,USAble Mutual Insurance Company,5,1,2,5,4,4,5,4,5,3,4,3,3,3,3
S5805,PDP,UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY OF NEW YORK,"UnitedHealth Group, Inc.",5,1,5,4,1,3,3,4,4,5,3,2,3,4,3
S5810,PDP,Aetna Medicare,AETNA LIFE INSURANCE COMPANY,Aetna Inc.,5,4,5,3,1,2,3,4,4,5,3,2,2,2,3
S5820,PDP,UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",5,1,4,4,1,4,5,4,5,5,2,2,3,3,3
S5840,PDP,"First Medical Health Plan, Inc.","FIRST MEDICAL HEALTH PLAN, INC.","First Medical Health Plan, Inc.",2,Not enough data available,No data available,Not enough data available,3,Not enough data available,5,5,No data available,3,2,5,1,1,1
S5857,PDP,Priority Health Medicare,PRIORITY HEALTH INSURANCE COMPANY,Spectrum Health System,No data available,5,No data available,Not enough data available,5,No data available,4,No data available,No data available,3,5,1,3,5,5
S5877,PDP,EMI Health,EDUCATORS MUTUAL INSURANCE ASSOCIATION,Educators Mutual Insurance Association,1,5,No data available,4,2,5,3,5,5,5,3,5,3,3,3
S5884,PDP,Humana Insurance Company,HUMANA INSURANCE COMPANY,Humana Inc.,5,4,5,3,5,3,3,2,1,3,5,4,2,3,3
S5904,PDP,Florida Blue,"BLUE CROSS AND BLUE SHIELD OF FLORIDA, INC.",Blue Cross and Blue Shield of Florida,2,1,3,3,4,4,3,4,4,5,2,2,3,4,4
S5907,PDP,"Triple-S Salud, Inc.","TRIPLE-S SALUD, INC.",Triple-S Management Corporation,2,2,No data available,2,1,4,5,2,1,3,3,5,1,2,1
S5916,PDP,Regence BlueShield of Idaho and Regence BCBS Utah,REGENCE BLUESHIELD OF IDAHO AND REGENCE BC BS UTAH,"Cambia Health Solutions, Inc.",5,1,Not enough data available,5,5,5,3,4,4,5,2,4,3,3,4
S5921,PDP,UnitedHealthcare,UNITEDHEALTHCARE INS. CO. AND UNITEDHEALTHCARE NY,"UnitedHealth Group, Inc.",4,1,5,2,1,4,4,4,4,5,1,2,4,4,5
S5932,PDP,Cigna-HealthSpring,"HEALTHSPRING LIFE & HEALTH INSURANCE COMPANY, INC.",CIGNA,5,3,1,4,2,1,3,4,4,5,3,3,1,1,1
S5953,PDP,Blue Cross Blue Shield of South Carolina,BLUECROSS AND BLUESHIELD OF SOUTH CAROLINA,BlueCross BlueShield of South Carolina (BCBSSC),4,1,2,5,4,3,4,4,4,3,3,3,2,3,2
S5960,PDP,UniCare,UNICARE LIFE & HEALTH INSURANCE COMPANY,"WellPoint, Inc.",5,5,Not enough data available,2,3,1,3,1,4,3,2,3,1,1,1
S5966,PDP,EmblemHealth Medicare PDP,GROUP HEALTH INCORPORATED,"EmblemHealth, Inc.",3,1,5,4,4,5,4,4,4,3,5,4,4,5,5
S5967,PDP,WellCare,"WELLCARE PRESCRIPTION INSURANCE, INC.","WellCare Health Plans, Inc.",4,2,5,2,3,1,3,4,4,5,3,4,2,2,3
S5975,PDP,"MODA HEALTH PLAN, INC.","MODA HEALTH PLAN, INC.","Health Services Group, Inc.",No data available,2,Not enough data available,5,5,No data available,3,5,5,Not enough data available,2,5,5,5,5
S5983,PDP,Express Scripts Medicare,MEDCO CONTAINMENT INSURANCE COMPANY OF NEW YORK,Express Scripts Holding Company,1,3,4,4,4,3,3,4,No data available,5,3,3,3,2,2
S5993,PDP,"Horizon Blue Cross Blue Shield of New Jersey, Inc.",HORIZON HEALTHCARE SERVICES,"Horizon Healthcare Services, Inc.",4,1,5,2,3,4,5,1,4,3,3,4,4,5,5
S6506,PDP,Blue Cross and Blue Shield of Arizona,"BLUE CROSS AND BLUE SHIELD ARIZONA, INC.",Blue Cross Blue Shield of Arizona,5,5,Not enough data available,2,5,2,Not enough data available,4,4,5,3,3,3,5,3
S6875,PDP,Select Option,QCC INSURANCE COMPANY,Independence Blue Cross,No data available,2,No data available,4,3,No data available,3,5,5,Not enough data available,3,2,4,5,5
S7230,PDP,Advantage-Plus Meridian,"MERIDIAN HEALTH PLAN OF MICHIGAN, INC.","Caidan Enterprises, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
S7610,PDP,Advantage-Plus Meridian,"MERIDIAN HEALTH PLAN OF ILLINOIS, INC.","Caidan Enterprises, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
S7694,PDP,EnvisionRx Plus,ENVISION INSURANCE COMPANY,"Envision Pharmaceutical Holdings, Inc.",4,5,Not enough data available,4,4,3,2,1,3,5,2,4,1,1,1
S7950,PDP,Express Scripts Medicare,EXPRESS SCRIPTS INSURANCE CO.,Express Scripts Holding Company,No data available,3,1,5,5,No data available,3,5,4,Not enough data available,3,4,5,5,5
S8067,PDP,Avalon Insurance Company,AVALON INSURANCE COMPANY,Capital BlueCross,5,1,2,3,5,4,3,2,4,3,4,1,5,5,5
S8841,PDP,"Catamaran Insurance of Ohio, Inc.","CATAMARAN INSURANCE OF OHIO, INC.",Catamaran Corporation,No data available,2,3,5,5,No data available,3,4,4,Not enough data available,4,5,5,5,5
S9014,PDP,SecureAdvantage Rx,THP INSURANCE COMPANY,Health Plan of the Upper Ohio Valley,2,Plan too new to be measured,Not enough data available,1,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
S9579,PDP,Stonebridge Life Insurance Company,STONEBRIDGE LIFE INSURANCE COMPANY,Aegon N.V.,No data available,5,2,5,5,No data available,Not enough data available,1,4,Not enough data available,3,4,4,4,5
