Contract Number,Contract Name,Parent Organization,Organization Type,Part C,,,,,,,,,,,,,,,,Part D,,,,,,,,,,,
,,,,Follow-up Visit after Hospital Stay for Mental Illness (within 30 days of discharge) - DMC01,Call Answer Timeliness - DMC02,Antidepressant Medication Management (6 months) - DMC03,Continuous Beta Blocker Treatment - DMC04,Appropriate Monitoring for Patients Taking Long Term Medications - DMC05,Osteoporosis Testing - DMC06,Testing to Confirm Chronic Obstructive Pulmonary Disease - DMC07,Doctors who Communicate Well - DMC08,Call Center – Beneficiary  Hold Time - DMC09,Call Center – Information Accuracy - DMC10,Pneumonia Vaccine - DMC11,Access to Primary Care Doctor Visits - DMC12,Grievances - DMC13,Special Needs Plan (SNP) Care Management - DMC14,Calls Disconnected When Customer Calls Health Plan - DMC15,Timely Receipt of Case Files - DMD01,Timely Effectuation of Appeals - DMD02,Calls Disconnected When Customer Calls Drug Plan - DMD03,Call Center – Beneficiary Hold Time - DMD04,Call Center – Information Accuracy - DMD05,Drug-Drug Interactions - DMD06,Diabetes Medication Dosing - DMD07,Completeness of the Drug Plan's Information on Members Who Need Extra Help - DMD08,Drug Plan Provides Current Information on Costs and Coverage for Medicare’s Website - DMD09,MPF - Stability - DMD10,Grievance Rate - DMD11,Medication Therapy Management Program Completion Rate for Comprehensive Medication Reviews - DMD12,Atypical Antipsychotic Rate - DMD13
S5810,AETNA LIFE INSURANCE COMPANY,Aetna Inc.,PDP,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,97.40%,77.27%,0.00%,0:21,83.44%,9.3%,1.1%,99.90%,100%,98,2.71,16.9%,25.64%
S5820,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",PDP,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,94.06%,81.02%,1.73%,0:19,77.64%,8.6%,1.3%,99.90%,100%,99,1.40,0.4%,23.85%
S5825,SILVERSCRIPT INSURANCE COMPANY,CVS Caremark Corporation,PDP,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,84.62%,100.00%,0.19%,0:33,82.31%,8.6%,0.9%,100.00%,100%,99,No data available,20.4%,21.47%
S5840,"FIRST MEDICAL HEALTH PLAN, INC","First Medical Health Plan, Inc.",PDP,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,No data available,No data available,3.33%,0:30,73.88%,6.2%,2.5%,No data available,100%,98,No data available,Data issues found,No data available
S5857,PRIORITY HEALTH INSURANCE COMPANY,Spectrum Health System,PDP,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,No data available,No data available,0.83%,1:45,69.37%,7.4%,1.5%,100.00%,100%,99,No data available,No data available,10.00%
S5877,EDUCATORS MUTUAL INSURANCE ASSOCIATION,Educators Mutual Insurance Association,PDP,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,100.00%,No data available,0.83%,0:41,72.48%,9.2%,1.4%,100.00%,100%,99,0.14,No data available,No Data Available
S5884,HUMANA INSURANCE COMPANY,Humana Inc.,PDP,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,93.24%,88.57%,0.00%,0:30,87.31%,8.2%,1.1%,99.90%,100%,99,0.40,2.8%,22.71%
S5904,"BLUE CROSS AND BLUE SHIELD OF FLORIDA, INC.",Blue Cross and Blue Shield of Florida,PDP,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,100.00%,100.00%,0.83%,1:11,70.23%,7.7%,0.5%,99.90%,100%,99,0.20,4.1%,27.13%
S5907,"TRIPLE-S SALUD, INC.",Triple-S Management Corporation,PDP,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,No data available,No data available,8.50%,0:33,67.62%,6.6%,0.1%,No data available,100%,99,0.02,20.4%,No data available
S5916,REGENCE BLUESHIELD OF IDAHO & REGENCE BCBS OF UTAH,"Cambia Health Solutions, Inc.",PDP,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,No data available,100.00%,0.00%,0:21,91.79%,10.7%,1.8%,99.40%,100%,99,0.05,Data issues found,18.99%
S5921,UNITEDHEALTHCARE INS. CO. AND UNITEDHEALTHCARE NY,"UnitedHealth Group, Inc.",PDP,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,90.11%,84.62%,2.34%,0:20,77.64%,11.3%,1.7%,99.60%,100%,99,2.55,0.6%,24.51%
