CY2011 Medicare Part C and D Display Measures,,,,,,,,,,,,,,,,,,,,,,,,,,
  * See next worksheet for technical notes.,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Contract Number,Organization Marketing Name,Contract Name,Part D,,,,,,,,1/1/2009 - 12/31/2009,Part C,,,,,,,,,,,,,,
,,,Access,,,Call Center,Patient Safety,,,Plan Finder,,1/1/2009 - 12/31/2009,1/1/2009 - 12/31/2009,1/1/2009 - 12/31/2009,1/1/2009 - 12/31/2009,1/1/2009 - 12/31/2009,,,,,,,,,,
S5597,Universal American,PENNSYLVANIA LIFE INSURANCE COMPANY,95.45%,94.87%,95.83%,0.96%,9.93%,1.69%,57.02%,100.00%,9.91%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,,,,,,,,,,
S5601,SilverScript Insurance Company,SILVERSCRIPT INSURANCE COMPANY,98.23%,93.03%,93.27%,0.19%,10.02%,1.80%,59.55%,100.00%,9.40%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,,,,,,,,,,
S5609,Asuris Northwest Health,ASURIS NORTHWEST HEALTH,100.00%,100.00%,95.09%,0.00%,9.91%,2.12%,67.64%,100.00%,9.72%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,,,,,,,,,,
S5617,CIGNA Medicare Rx,CONNECTICUT GENERAL LIFE INSURANCE COMPANY,71.13%,86.96%,97.65%,0.00%,9.81%,1.48%,59.89%,100.00%,0.00%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,,,,,,,,,,
S5644,RxAmerica,ACCENDO INSURANCE COMPANY,91.67%,96.03%,94.63%,1.35%,8.46%,0.62%,54.35%,100.00%,11.78%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,,,,,,,,,,
S5660,Medco Medicare Prescription Plan,MEDCO CONTAINMENT LIFE INSURANCE COMPANY,98.03%,86.84%,96.30%,0.00%,8.89%,0.89%,65.32%,100.00%,7.84%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,,,,,,,,,,
S5670,First Health Part D,COVENTRY HEALTH AND LIFE INSURANCE COMPANY,75.81%,88.00%,85.02%,0.19%,9.02%,1.86%,59.82%,100.00%,24.17%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,,,,,,,,,,
S5674,First Health Part D,FIRST HEALTH LIFE & HEALTH INSURANCE COMPANY,68.89%,89.47%,85.29%,0.00%,8.28%,1.75%,61.84%,100.00%,26.20%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,,,,,,,,,,
S5678,Health Net,HEALTH NET LIFE INS CO/HEALTH NET INS OF NY,81.63%,78.72%,87.52%,0.49%,8.80%,1.75%,55.22%,100.00%,10.26%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,,,,,,,,,,
S5715,"HISC - Blue Cross Blue Shield of IL, NM, OK, TX",HCSC INSURANCE SERVICES COMPANY,96.55%,90.91%,84.72%,0.00%,8.91%,1.73%,63.82%,100.00%,11.51%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,,,,,,,,,,
S5726,Blue MedicareRx,BLUE CROSS BLUE SHIELD OF KANSAS,100.00%,100.00%,93.11%,0.00%,10.68%,1.54%,63.53%,100.00%,6.21%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,,,,,,,,,,
S5741,HIP Medicare PDP,HIP INSURANCE COMPANY OF NEW YORK,100.00%,100.00%,95.14%,13.33%,8.72%,1.12%,63.17%,100.00%,11.81%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,,,,,,,,,,
S5743,MedicareBlue Rx,"BCBS MN, MT, NE, ND, WY, WELLMARK IA AND SD",95.00%,100.00%,95.09%,0.00%,9.12%,2.17%,71.78%,100.00%,7.68%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,,,,,,,,,,
S5753,WPS Health Insurance,WISCONSIN PHYSICIANS SERVICE INSURANCE CORPORATION,94.12%,100.00%,97.79%,1.67%,8.31%,1.10%,72.30%,100.00%,7.12%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,,,,,,,,,,
S5755,United American Insurance Company,UNITED AMERICAN INSURANCE COMPANY,96.77%,50.00%,92.48%,2.92%,9.37%,0.90%,58.77%,100.00%,11.78%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,,,,,,,,,,
S5766,Medi-CareFirst BlueCross BlueShield,"FIRST CARE, INC.",Not measured,Not measured,94.46%,0.00%,8.05%,1.80%,64.76%,100.00%,13.45%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,,,,,,,,,,
S5768,First Health Part D,FIRST HEALTH LIFE & HEALTH INSURANCE COMPANY,82.50%,90.00%,96.27%,0.19%,9.13%,1.66%,57.13%,100.00%,14.96%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,,,,,,,,,,
S5775,PICA,PHARMACY INSURANCE CORPORATION OF AMERICA,Not measured,100.00%,93.04%,1.64%,7.98%,0.10%,32.55%,100.00%,10.85%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,,,,,,,,,,
S5795,Arkansas Blue Cross  -  Medi-Pak Rx,"ARKANSAS BCBS, A MUTUAL INSURANCE COMPANY",100.00%,100.00%,96.90%,2.50%,10.91%,2.22%,59.87%,100.00%,6.07%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,,,,,,,,,,
S5803,Universal American,PENN LIFE INS CO AND AMER PROG LIFE AND HTH INS CO,96.45%,98.46%,96.95%,1.54%,11.28%,1.79%,60.75%,100.00%,9.08%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,,,,,,,,,,
S5805,UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY OF NEW YORK,60.00%,77.78%,79.61%,0.38%,8.19%,1.79%,65.46%,91.67%,7.28%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,,,,,,,,,,
S5810,Aetna Medicare,AETNA LIFE INSURANCE COMPANY,96.20%,79.59%,91.70%,0.38%,10.32%,2.03%,59.65%,100.00%,13.49%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,,,,,,,,,,
S5820,UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,60.16%,86.32%,86.30%,0.38%,8.97%,1.70%,62.13%,91.67%,10.62%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,,,,,,,,,,
S5825,Universal American,AMERICAN PROGRESSIVE LIFE AND HEALTH INS CO NY,100.00%,100.00%,75.73%,0.96%,8.93%,1.07%,62.02%,100.00%,9.76%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,,,,,,,,,,
S5840,"First Medical Health Plan, Inc.","FIRST MEDICAL HEALTH PLAN, INC",Not measured,Not measured,Not measured,0.81%,8.79%,2.49%,22.45%,100.00%,Plan too small to be measured,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,,,,,,,,,,
S5857,Priority Health Medicare,PRIORITY HEALTH INSURANCE COMPANY,Not measured,Not measured,83.70%,0.00%,9.80%,1.64%,62.14%,100.00%,14.91%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,,,,,,,,,,
S5860,Rocky Mountain Health Plans,ROCKY MOUNTAIN  HEALTH MAINTENANCE ORGANIZATION,Not measured,Not measured,86.21%,0.00%,12.62%,3.40%,61.00%,100.00%,Plan too small to be measured,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,,,,,,,,,,
S5877,Educators Mutual Insurance Association,EDUCATORS MUTUAL INSURANCE ASSOCIATION,Not measured,Not measured,65.38%,0.00%,13.24%,2.23%,64.64%,100.00%,2.73%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,,,,,,,,,,
S5884,Humana Insurance Company,HUMANA INSURANCE COMPANY,97.95%,96.88%,86.62%,1.48%,9.14%,1.41%,61.00%,100.00%,14.27%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,,,,,,,,,,
S5904,"Blue Cross and Blue Shield of Florida, Inc.","BLUE CROSS AND BLUE SHIELD OF FLORIDA, INC.",100.00%,100.00%,87.21%,0.83%,9.44%,1.91%,61.99%,100.00%,11.40%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,,,,,,,,,,
S5907,"Triple-S Salud, Inc.","TRIPLE-S SALUD, INC.",Not measured,100.00%,85.47%,0.83%,6.32%,0.18%,36.10%,100.00%,10.66%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,,,,,,,,,,
S5915,Scott and White Health PlanTexas Rx Plan,SCOTT AND WHITE HEALTH PLAN,Not measured,Not measured,99.02%,0.00%,13.36%,2.82%,55.87%,100.00%,15.89%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,,,,,,,,,,
S5916,Regence Life and Health,REGENCE LIFE AND HEALTH INSURANCE COMPANY,66.67%,100.00%,94.22%,0.00%,11.46%,2.44%,62.12%,100.00%,9.29%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,,,,,,,,,,
S5917,UNITED HEALTHCARE INSURANCE COMPANY,UNITEDHEALTHCARE  INSURANCE COMPANY,50.00%,100.00%,93.76%,1.67%,8.13%,0.04%,51.28%,91.67%,16.86%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,,,,,,,,,,
S5921,UnitedHealthcare,UNITEDHEALTHCARE INS. CO. AND UNITEDHEALTHCARE NY,63.09%,86.52%,94.70%,0.52%,9.79%,1.72%,61.14%,91.67%,20.36%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,,,,,,,,,,
S5932,HealthSpring Prescription Drug Plan,"HEALTHSPRING LIFE & HEALTH INSURANCE COMPANY, INC.",94.00%,91.27%,93.27%,1.83%,9.59%,1.79%,54.74%,100.00%,9.58%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,,,,,,,,,,
S5937,Blue Cross and Blue Shield of Louisiana,LOUISIANA HEALTH SERVICE AND INDEMNITY COMPANY,100.00%,100.00%,95.43%,0.00%,12.14%,1.77%,58.99%,100.00%,5.85%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,,,,,,,,,,
S5953,Blue Cross Blue Shield of South Carolina,BLUE CROSS AND BLUE SHIELD OF SOUTH CAROLINA,50.00%,66.67%,87.08%,0.00%,9.07%,2.01%,55.78%,100.00%,9.76%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,,,,,,,,,,
S5954,"Dean Health Insurance, Inc.","DEAN HEALTH INSURANCE, INC.",100.00%,100.00%,92.86%,1.67%,7.00%,1.89%,75.16%,100.00%,8.24%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,,,,,,,,,,
S5960,UniCare,UNICARE LIFE AND HEALTH INSURANCE COMPANY,80.00%,97.62%,95.51%,0.39%,8.88%,1.26%,54.60%,100.00%,0.00%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,,,,,,,,,,
S5966,EmblemHealth Medicare PDP,GROUP HEALTH INCORPORATED,87.50%,100.00%,97.45%,1.67%,8.13%,1.20%,65.64%,100.00%,5.81%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,,,,,,,,,,
S5967,WellCare,"WELLCARE PRESCRIPTION INSURANCE, INC.",95.00%,50.00%,94.01%,0.39%,8.73%,1.81%,59.59%,100.00%,11.02%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,,,,,,,,,,
S5975,"ODS Health Plan, Inc.","ODS HEALTH PLAN, INC.",Not measured,Not measured,Not measured,Not measured,8.14%,2.19%,72.27%,100.00%,1.27%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,,,,,,,,,,
S5983,Medco Medicare Prescription Plan,MEDCO CONTAINMENT INSURANCE COMPANY OF NEW YORK,92.86%,100.00%,76.71%,0.83%,7.58%,0.73%,58.43%,100.00%,11.30%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,,,,,,,,,,
S5993,"Horizon Blue Cross Blue Shield of New Jersey, Inc.",HORIZON HEALTHCARE SERVICES DBA HORIZON BCBS NJ,100.00%,88.89%,49.90%,0.00%,8.31%,2.00%,64.06%,100.00%,8.48%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,,,,,,,,,,
S5998,Bravo Health,"BRAVO HEALTH INSURANCE COMPANY, INC.",73.58%,74.11%,89.90%,0.83%,7.46%,0.94%,52.25%,100.00%,9.02%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,,,,,,,,,,
S6875,Select Option,QCC INS CO D/B/A AMERIHEALTH INS CO,66.67%,75.00%,Not measured,Not measured,9.01%,1.88%,68.77%,100.00%,9.40%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,,,,,,,,,,
S7694,EnvisionRx Plus,ENVISION INSURANCE COMPANY,0.00%,100.00%,97.34%,2.50%,8.20%,1.84%,55.87%,91.67%,11.87%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,,,,,,,,,,
S7950,SAMAscript,EXPRESS SCRIPTS INSURANCE CO.,75.00%,100.00%,Not measured,Not measured,7.66%,1.06%,74.17%,100.00%,2.81%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,,,,,,,,,,
S8067,Avalon Insurance Company,AVALON INSURANCE COMPANY,66.67%,100.00%,98.87%,0.00%,7.19%,1.68%,68.11%,100.00%,11.44%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,,,,,,,,,,
S8201,UPMC Health Plan,"UPMC HEALTH BENEFITS, INC",Not measured,Not measured,100.00%,2.50%,4.82%,0.00%,66.97%,91.67%,Plan too small to be measured,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,,,,,,,,,,
