CY2015 Medicare Part C and D Display Measures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contract Number,Organizatoin Name,Contract Name,Parent Organization,Part C,,,,,,,,,,,,,,,,,,,,,,Part D,,,,,,,,,,,,,,Both Part C & Part D,,,,,,,
,,,,Follow-up Visit after Hospital Stay for Mental Illness (within 30 days of discharge) - DMC01,Call Answer Timeliness - DMC02,Antidepressant Medication Management (6 months) - DMC03,Continuous Beta Blocker Treatment - DMC04,Appropriate Monitoring of Patients Taking Long-term Medications - DMC05,Osteoporosis Testing - DMC06,Testing to Confirm Chronic Obstructive Pulmonary Disease - DMC07,Doctors who Communicate Well - DMC08,Pneumonia Vaccine - DMC09,Access to Primary Care Doctor Visits - DMC10,Special Needs Plan (SNP) Care Management - DMC11,Pharmacotherapy Management of COPD Exacerbation – Systemic Corticosteroid - DMC12,Pharmacotherapy Management of COPD Exacerbation – Bronchodilator - DMC13,Initiation of Alcohol or other Drug Treatment - DMC14,Engagement of Alcohol or other Drug Treatment - DMC15,Reminders for Appointments - DMC16,Reminders for Immunizations - DMC17,Reminders for Screening Tests - DMC18,Computer used during Office Visits - DMC19,Computer use by Provider Helpful - DMC20,Computer use Made Talking to Provider Easier - DMC21,Breast Cancer Screening - DMC22,Timely Receipt of Case Files for Appeals - DMD01,Timely Effectuation of Appeals - DMD02,Drug-Drug Interactions  - DMD03,Diabetes Medication Dosing - DMD04,Drug Plan Provides Current Information on Costs and Coverage for Medicare’s Website - DMD05,MPF – Stability - DMD06,Medication Therapy Management Program Completion Rate for Comprehensive Medication Reviews - DMD07,Rate of Chronic Use of Atypical Antipsychotics by Elderly Beneficiaries in Nursing Homes - DMD08,Getting Information from Drug Plan - DMD09,Plan Submitted Higher Prices for Display on MPF - DMD10,Transition monitoring - failure rate for drugs within classes of clinical concern - DMD11,Transition monitoring - failure rate for all other drugs - DMD12,Reminders to fill prescriptions - DMD13,Reminders to take medications - DMD14,Enrollment Timeliness - DME01,Grievance Rate - DME02,"Disenrollment Reasons - Problems Getting Needed Care, Coverage, and Cost Information (MA-PD, MA-only) - DME03","Disenrollment Reasons - Problems with Coverage of Doctors and Hospitals (MA-PD, MA-only) - DME04","Disenrollment Reasons - Financial Reasons for Disenrollment (MA-PD, MA-only, PDP) - DME05","Disenrollment Reasons - Problems with Prescription Drug Benefits and Coverage (MA-PD, PDP) - DME06","Disenrollment Reasons - Problems Getting Information about Prescription Drugs (MA-PD, PDP) - DME07",Beneficiary Access and Performance Problems - DME08
H9725,Cigna-Healthspring,"CIGNA HEALTHCARE OF NORTH CAROLINA, INC.",CIGNA,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,98%,No data available,No data available,No data available,No data available,No data available,No data available,No data available
H9730,WellCare,"WELLCARE HEALTH INSURANCE COMPANY OF KENTUCKY, INC","WellCare Health Plans, Inc.",63%,82%,Not enough data available,Not enough data available,91%,No data available,Not enough data available,89%,61%,91%,Plan not required to report measure,72%,76%,27%,3%,51%,41%,37%,87%,92%,59%,Not enough data available,50%,83.33%,6.4%,0.00%,96%,97,9.6%,No data available,76%,98,No data available,No data available,43%,42%,98%,6.99,33,48,9,14,25,100
H9788,ActiveSaver MSA or BlueSaver MSA,HEALTHNOW NEW YORK INC.,HealthNow New York Inc.,Not enough data available,88%,Benefit not offered by plan ,Benefit not offered by plan ,Benefit not offered by plan ,88%,Not enough data available,No data available,No data available,86%,Plan not required to report measure,Benefit not offered by plan ,Benefit not offered by plan ,Not enough data available,Not enough data available,No data available,No data available,No data available,No data available,No data available,No data available,66%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,No data available,No Data Available,No data available,No data available,No data available,No data available,No data available,100
H9795,Montefiore Emerald Care FIDA Plan,"MONTEFIORE HMO, LLC","Montefiore Health Systems, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H9834,Gundersen Health Plan Minnesota,GUNDERSEN HEALTH PLAN OF MINNESOTA,Gundersen Lutheran Health System Inc.,Not enough data available,89%,Not enough data available,Not enough data available,95%,No data available,Not enough data available,No data available,No data available,97%,Plan not required to report measure,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,No data available,No data available,No data available,No data available,No data available,Not enough data available,No data available,No data available,5.7%,0.00%,88%,104,Plan not required to report measure,No data available,No data available,99,No data available,No data available,No data available,No data available,No data available,CMS Found Issues with Plan's Data,No data available,No data available,No data available,No data available,No data available,100
H9847,Coventry Health Care,COVENTRY HEALTH AND LIFE INSURANCE COMPANY,Aetna Inc.,52%,80%,59%,94%,93%,77%,39%,90%,67%,96%,Plan not required to report measure,76%,77%,29%,4%,54%,44%,38%,83%,Not enough data available,47%,75%,100%,100.00%,5.7%,0.66%,96%,97,29.3%,21.74%,83%,99,0.0%,0.0%,35%,16%,98%,0.89,10,25,21,12,9,80
H9857,Piedmont WellStar HealthPlans,"PIEDMONT WELLSTAR HEALTHPLANS, INC.","Piedmont WellStar HealthPlans, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,95%,No data available,No data available,No data available,No data available,No data available,No data available,No data available
H9859,MVP HEALTH CARE,"MVP HEALTH PLAN, INC.","MVP Health Care, Inc.",Not enough data available,76%,63%,94%,94%,87%,36%,92%,74%,98%,Plan not required to report measure,76%,84%,35%,5%,52%,41%,31%,85%,90%,47%,77%,100%,100.00%,4.9%,0.70%,92%,100,19.0%,17.78%,86%,97,No data available,0.0%,33%,11%,96%,0.21,5,2,54,4,3,60
H9869,Partners Health Plan,"PARTNERS HEALTH PLAN, INC.","PHSI, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H9886,Anthem Blue Cross and Blue Shield,"HMO MISSOURI, INC.","WellPoint, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,92%,No data available,No data available,No data available,No data available,No data available,No data available,No data available
H9915,"MedStar Family Choice, Inc","MEDSTAR FAMILY CHOICE, INC.","Medstar Health, Inc.",Not enough data available,86%,Not enough data available,Not enough data available,56%,No data available,Not enough data available,No data available,No data available,92%,Plan not required to report measure,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,No data available,No data available,No data available,No data available,No data available,Not enough data available,No data available,No data available,No data available,No data available,100%,No data available,Plan too small to be measured,No data available,No data available,88,No data available,No data available,No data available,No data available,93%,No Data Available,No data available,No data available,No data available,No data available,No data available,100
H9947,Blue Cross Blue Shield of Georgia,"BLUE CROSS AND BLUE SHIELD OF GEORGIA, INC.","WellPoint, Inc.",Not enough data available,86%,58%,Not enough data available,91%,78%,Not enough data available,92%,63%,95%,Plan not required to report measure,77%,77%,37%,0%,51%,46%,39%,86%,Not enough data available,55%,78%,96%,90.91%,7.3%,0.48%,100%,98,10.8%,No data available,No data available,97,No data available,40.0%,36%,18%,97%,0.94,11,11,36,9,10,100
H9954,Anthem Blue Cross and Blue Shield,"ANTHEM INSURANCE COMPANIES, INC.","WellPoint, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available
R3175,UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",44%,80%,48%,82%,92%,68%,36%,No data available,60%,92%,41.8%,78%,88%,29%,2%,68%,56%,49%,80%,Not enough data available,60%,62%,No data available,No data available,4.6%,0.84%,96%,98,18.2%,17.54%,No data available,99,No data available,0.0%,54%,39%,No data available,1.72,4,7,11,4,2,80
R3332,Florida Blue,"BLUE CROSS AND BLUE SHIELD OF FLORIDA, INC.",Guidewell Mutual Holding Corporation,49%,61%,59%,88%,93%,85%,42%,91%,71%,97%,Plan not required to report measure,71%,72%,31%,2%,66%,50%,42%,80%,Not enough data available,42%,76%,58%,92.31%,4.0%,0.36%,100%,99,11.7%,14.29%,82%,98,0.0%,13.3%,41%,19%,81%,CMS Found Issues with Plan's Data,8,15,31,5,5,80
R3444,Care Improvement Plus,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,"UnitedHealth Group, Inc.",48%,87%,48%,89%,91%,53%,24%,No data available,61%,97%,53.1%,65%,75%,33%,3%,62%,52%,45%,82%,Not enough data available,54%,61%,94%,100.00%,7.1%,0.59%,96%,99,13.5%,28.04%,No data available,97,6.7%,6.7%,34%,28%,98%,0.84,23,37,25,17,20,80
R5287,UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",49%,86%,52%,87%,93%,81%,36%,90%,64%,96%,34.8%,72%,77%,35%,3%,68%,52%,42%,79%,Not enough data available,55%,71%,100%,100.00%,5.6%,1.35%,96%,98,15.8%,27.88%,No data available,98,0.0%,13.3%,46%,20%,97%,7.02,9,47,19,7,6,80
R5342,UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY OF NEW YORK,"UnitedHealth Group, Inc.",65%,86%,53%,91%,91%,77%,35%,90%,71%,94%,Plan not required to report measure,75%,78%,38%,6%,62%,50%,43%,83%,Not enough data available,49%,64%,100%,No data available,5.5%,0.90%,96%,98,18.0%,23.69%,81%,98,0.0%,13.3%,48%,23%,97%,5.83,15,22,21,8,12,80
